Driven_four_above,Worried_rising_covid,Vulnerable,@3.Pleaseexplainthemainreasonsforyouranswer,@4.KindlyanswerthefollowingcommonstatementsaboutCovid19,Origination_virus,Spread_human_human,Symptoms,Virus_airborn,Develop_severe_cases,No_vaccine,Wash_hands,Cover_nose_mouth,Eating_bushmeat,Isolation,Contact_infected_person,Avoid_crowd,Lock_down,Social_distancing,Nose_mask,No_mask_no_entry,Proper_handwashing,Passenger_details,TOTALSCORE,Knowledge_group,Ghana_fight_covid,Confidence,@4c.KindlyanswerthefollowingcommonstatementsaboutCovid19,Crowded_place,Travelled_public,Recently_wash_sanitized,Wear_mask,Location,Gender,Age,30-39,Prmiary,8,Marrried,Islam,6,Bolt
Yes,"Yes, absolutely",Yes,I can pick someone who has covid without knowing, ,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,14,High,Yes,Yes, ,Yes,No,No,Yes,Kumasi,Male,36,30-39,Voc./Tech./Commercial,17,Marrried,Islam,6,Bolt
Yes,"Yes, but not as it was in March 2020",Yes,Commutes with passengers who might be infected persons, ,Correct,Correct,Correct,Incorrect,Correct,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Incorrect,13,High,Yes,Yes, ,Yes,Yes,Yes,Yes,Kumasi,Male,38,30-39,Tertiary,18,Marrried,Christian,3,Bolt
Yes,"Yes, absolutely",Yes,Comes into new passengers each day, ,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,15,High,Yes,Yes, ,No,Yes,Yes,Yes,Kumasi,Male,39,40 & above,Tertiary,17,Co-habiting (living with a partner but not married),Islam,8,Yango
Yes,"Yes, absolutely",Yes, We take cash from clients with our unsanitized hands, ,Incorrect,Incorrect,Incorrect,Correct,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Correct,Correct,5,Low,Yes,Yes, ,Yes,Yes,Yes,Yes,Kumasi,Male,40,30-39,SSS/SHS,14,Marrried,Christian,7,Bolt
Yes,"Yes, absolutely",Yes,Do not know status of riders whether they are carriers or not, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,Yes,Yes,Yes,Yes,Accra,Male,39,30-39,Voc./Tech./Commercial,17,Marrried,Christian,4,Bolt
Yes,"Yes, absolutely",Yes,Covid is not a respector of persons, ,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,15,High,Yes,Yes, ,Yes,Yes,Yes,Yes,Kumasi,Male,38,18-29,SSS/SHS,14,Co-habiting (living with a partner but not married),Christian,6,Bolt
Yes,"Yes, absolutely",Yes, , ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,Yes,No,Yes,Yes,Kumasi,Male,28,18-29,SSS/SHS,14,Single,Christian,5,Bolt
Yes,"Yes, absolutely",Yes,Exchange of cash, ,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Correct,Correct,3,Low,Yes,Yes, ,Yes,No,Yes,Yes,Accra,Male,29,40 & above,SSS/SHS,14,Marrried,Christian,4,Uber
Yes,"Yes, absolutely",No, , ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,No,Yes,Yes,Yes,Kumasi,Male,45,30-39,SSS/SHS,14,Single,Christian,2,Bolt
Yes,"Yes, absolutely",Yes,The status of customers are unknown, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Correct,Correct,10,Medium,Yes,Yes, ,No,No,Yes,Yes,Accra,Male,31,30-39,SSS/SHS,14,Marrried,Christian,5,Uber
Yes,"Yes, absolutely",Yes,some customers don't wear mask, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,Yes,No,Yes,Yes,Accra,Male,34,30-39,SSS/SHS,14,Marrried,Christian,4,Uber
Yes,"Yes, absolutely",No, , ,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,15,High,Yes,Yes, ,No,No,Yes,Yes,Accra,Male,36,30-39,Tertiary,18,Marrried,Christian,2,Bolt
Yes,"Yes, absolutely",Yes,It's airborne so I can get it, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,17,High,Yes,Yes, ,No,No,Yes,Yes,Accra,Male,36,18-29,Voc./Tech./Commercial,14,Single,Christian,1,Uber
Yes,"Yes, absolutely",No, , ,Incorrect,Correct,Correct,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,10,Medium,Yes,Yes, ,Yes,Yes,Yes,Yes,Kumasi,Male,25,18-29,SSS/SHS,14,Marrried,Christian,3,Bolt
Yes,"Yes, absolutely",No, , ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,No,Yes, ,Yes,Yes,Yes,Yes,Kumasi,Male,26,30-39,SSS/SHS,14,Marrried,Christian,4,Bolt
Yes,"Yes, but not as it was in March 2020",Yes,Commutes with new faces each day, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Incorrect,15,High,Yes,Yes, ,No,Yes,Yes,Yes,Kumasi,Male,30,30-39,JSS/JHS/Mid. School,10,Marrried,Islam,12,Bolt
Yes,"Yes, but not as it was in March 2020",Yes,I don't sanitise my hands sometimes after taking their money, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,17,High,No,Yes, ,Yes,Yes,Yes,Yes,Kumasi,Male,36,30-39,Tertiary,18,Single,Christian,7,Uber
Yes,"Yes, absolutely",Yes,Do not know status of people who patronize, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Correct,Correct,11,Medium,Yes,Yes, ,Yes,Yes,Yes,Yes,Accra,Male,33,30-39,SSS/SHS,14,Marrried,Christian,7,Bolt
Yes,"Yes, absolutely",No, , ,Incorrect,Correct,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,11,Medium,Yes,No, ,No,No,Yes,Yes,Accra,Male,39,18-29,Tertiary,17,Single,Christian,3,Bolt
Yes,"Yes, absolutely",No, , ,Incorrect,Correct,Correct,Incorrect,Correct,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Incorrect,Incorrect,11,Medium,Yes,Yes, ,Yes,Yes,Yes,Yes,Kumasi,Male,28,30-39,Tertiary,18,Marrried,Christian,6,Uber
Yes,"Yes, absolutely",No, , ,Incorrect,Correct,Correct,Incorrect,Correct,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Incorrect,Incorrect,11,Medium,Yes,Yes, ,Yes,Yes,Yes,Yes,Kumasi,Male,32,30-39,SSS/SHS,14,Marrried,Islam,5,Bolt
Yes,"Yes, but not as it was in March 2020",No, , ,Incorrect,Correct,Correct,Incorrect,Correct,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Incorrect,Correct,Incorrect,Correct,Correct,Correct,Incorrect,11,Medium,Yes,Yes, ,No,No,Yes,Yes,Kumasi,Male,35,30-39,Voc./Tech./Commercial,17,Marrried,Christian,3,Bolt
Yes,"Yes, absolutely",No, , ,Correct,Incorrect,Incorrect,Incorrect,Correct,Incorrect,Incorrect,Incorrect,Correct,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Incorrect,4,Low,Yes,Yes, ,Yes,No,Yes,Yes,Accra,Male,36,18-29,SSS/SHS,14,Single,Christian,14,Bolt
Yes,"Yes, absolutely",Yes,Through cash transaction, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Correct,Correct,12,Medium,Yes,Yes, ,Yes,No,Yes,Yes,Accra,Male,27,18-29,SSS/SHS,14,Single,Christian,7,Yango
Yes,No,No, , ,Incorrect,Incorrect,Incorrect,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Incorrect,12,Medium,Yes,Yes, ,Yes,Yes,Yes,Yes,Accra,Male,29,30-39,Tertiary,20,Single,Christian,7,Uber
Yes,"Yes, absolutely",Yes,Money exchange, ,Incorrect,Incorrect,Incorrect,Correct,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Correct,Correct,5,Low,Yes,Yes, ,No,No,Yes,Yes,Accra,Male,30,30-39,SSS/SHS,14,Marrried,Christian,4,Bolt
Yes,"Yes, absolutely",Yes,We transport different people who we do not know their COVID-19 statuses, ,Incorrect,Correct,Correct,Incorrect,Incorrect,Correct,Correct,Correct,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Incorrect,12,Medium,Yes,Yes, ,Yes,Yes,Yes,Yes,Accra,Male,30,30-39,SSS/SHS,14,Marrried,Islam,5,Bolt
Yes,"Yes, absolutely",Yes,Most customers don't wear their mask, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,Yes,No,Yes,Yes,Accra,Male,31,30-39,JSS/JHS/Mid. School,11,Single,Islam,1,Uber
Yes,"Yes, absolutely",No, , ,Incorrect,Incorrect,Incorrect,Correct,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Correct,Correct,5,Low,Yes,Yes, ,No,No,Yes,Yes,Accra,Male,32,30-39,SSS/SHS,14,Marrried,Christian,3,Bolt
Yes,"Yes, but not as it was in March 2020",No, , ,Incorrect,Correct,Incorrect,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Incorrect,12,Medium,Yes,Yes, ,No,No,Yes,Yes,Accra,Male,32,30-39,No formal education,0,Marrried,Christian,5,Bolt
Yes,No,No, , ,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,12,Medium,Yes,No, ,Yes,Yes,Yes,Yes,Accra,Male,36,30-39,Voc./Tech./Commercial,17,Marrried,Christian,3,Uber
Yes,"Yes, absolutely",No, , ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,17,High,Yes,Yes, ,Yes,Yes,Yes,No,Accra,Male,36,40 & above,SSS/SHS,14,Marrried,Christian,5,Bolt
Yes,"Yes, absolutely",Yes,Am worried about my self because of the virus, ,Correct,Incorrect,Incorrect,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Incorrect,12,Medium,Yes,Yes, ,Yes,Yes,Yes,Yes,Accra,Male,46,18-29,SSS/SHS,14,Single,Christian,1,Bolt
Yes,"Yes, but not as it was in March 2020",No, , ,Correct,Correct,Correct,Incorrect,Correct,Incorrect,Correct,Correct,Incorrect,Correct,Incorrect,Incorrect,Correct,Correct,Correct,Correct,Correct,Incorrect,12,Medium,No,Yes, ,Yes,Yes,Yes,Yes,Kumasi,Male,28,18-29,SSS/SHS,14,Single,Christian,5,Bolt
Yes,"Yes, absolutely",Yes,I don't know the status of the person who is entering the car, ,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Incorrect,Incorrect,12,Medium,Yes,Yes, ,Yes,No,No,Yes,Kumasi,Male,28,18-29,Tertiary,18,Single,Islam,4,Bolt
Yes,"Yes, but not as it was in March 2020",No, , ,Correct,Correct,Correct,Incorrect,Incorrect,Incorrect,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Incorrect,Correct,Incorrect,12,Medium,Yes,Yes, ,Yes,Yes,Yes,No,Kumasi,Male,28,18-29,SSS/SHS,14,Co-habiting (living with a partner but not married),Christian,2,Bolt
Yes,"Yes, absolutely",Yes, , ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Correct,Correct,12,Medium,Yes,Yes, ,Yes,No,Yes,Yes,Kumasi,Male,29,18-29,Tertiary,18,Co-habiting (living with a partner but not married),Christian,2,Bolt
Yes,"Yes, absolutely",No, , ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,17,High,Yes,Yes, ,Yes,Yes,Yes,Yes,Kumasi,Male,29,30-39,SSS/SHS,14,Co-habiting (living with a partner but not married),Christian,13,Bolt
Yes,"Yes, absolutely",Yes,I sometimes talk with people without nose mask, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,16,High,No,Yes, ,Yes,Yes,Yes,Yes,Kumasi,Male,34,30-39,SSS/SHS,14,Marrried,Christian,5,Bolt
Yes,"Yes, absolutely",Yes,Everyone is vulnerable, ,Incorrect,Correct,Correct,Incorrect,Correct,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Incorrect,12,Medium,Yes,Yes, ,Yes,Yes,Yes,Yes,Kumasi,Male,38,30-39,SSS/SHS,14,Marrried,Islam,6,Bolt
Yes,"Yes, but not as it was in March 2020",Yes,I sometimes help sick people board the car, ,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,15,High,No,No, ,Yes,Yes,Yes,No,Kumasi,Male,39,30-39,Voc./Tech./Commercial,17,Co-habiting (living with a partner but not married),Christian,3,Uber
Yes,"Yes, absolutely",Yes, , ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,17,High,Yes,Yes, ,Yes,Yes,Yes,Yes,Kumasi,Male,39,40 & above,Voc./Tech./Commercial,16,Marrried,Christian,9,Uber
Yes,No,Yes,I sometimes forget sanitise my hands after taking money from passengers, ,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,17,High,No,Yes, ,Yes,Yes,Yes,Yes,Kumasi,Male,40,40 & above,SSS/SHS,14,Marrried,Christian,4,Uber
Yes,"Yes, but not as it was in March 2020",No, , ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,16,High,No,Yes, ,No,No,Yes,Yes,Kumasi,Male,41,40 & above,SSS/SHS,14,Marrried,Christian,5,Bolt
Yes,"Yes, absolutely",Yes,I'm very scared but I trust that a God will protect me as I also observe the protocols, ,Incorrect,Correct,Correct,Incorrect,Correct,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Incorrect,12,Medium,Yes,Yes, ,Yes,Yes,Yes,Yes,Kumasi,Male,42,40 & above,Tertiary,18,Marrried,Christian,4,Uber
Yes,"Yes, absolutely",Yes,I am exposed so many passengers, ,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,No,Yes,Yes,Yes,Kumasi,Male,43,40 & above,SSS/SHS,14,Marrried,Christian,6,Uber
Yes,No,No, , ,Incorrect,Correct,Correct,Incorrect,Correct,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Incorrect,12,Medium,Yes,Yes, ,No,No,No,Yes,Kumasi,Male,45,40 & above,Voc./Tech./Commercial,17,Marrried,Christian,2,Bolt
Yes,"Yes, absolutely",No, , ,Incorrect,Correct,Correct,Incorrect,Correct,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Incorrect,12,Medium,Yes,Yes, ,No,No,No,Yes,Kumasi,Male,60,18-29,SSS/SHS,14,Single,Christian,2,Bolt
Yes,"Yes, absolutely",No, , ,Incorrect,Incorrect,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,13,High,No,No, ,Yes,No,Yes,Yes,Accra,Male,27,18-29,SSS/SHS,14,Single,Christian,12,Bolt
Yes,"Yes, absolutely",Yes,You don't know the person has three virus, ,Incorrect,Correct,Incorrect,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,13,High,Yes,Yes, ,No,No,Yes,Yes,Accra,Male,27,18-29,SSS/SHS,14,Single,Christian,5,Bolt
Yes,"Yes, absolutely",Yes,Some riders do not put on their nose mask when they sit in  my vehicle, ,Correct,Correct,Correct,Incorrect,Incorrect,Correct,Correct,Correct,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Incorrect,13,High,Yes,Yes, ,Yes,Yes,Yes,Yes,Accra,Male,29,18-29,SSS/SHS,14,Marrried,Christian,4,Bolt
Yes,No,Yes,Am frequent contact with people, ,Correct,Correct,Correct,Correct,Incorrect,Incorrect,Correct,Correct,Correct,Incorrect,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,13,High,Yes,Yes, ,No,No,Yes,Yes,Accra,Male,29,18-29,Tertiary,18,Marrried,Christian,20,Bolt
Yes,"Yes, but not as it was in March 2020",Yes,I might know if the person has virus or not, ,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Incorrect,13,High,No,No, ,Yes,Yes,Yes,Yes,Accra,Male,29,18-29,Tertiary,18,Marrried,Christian,2,Bolt
Yes,"Yes, absolutely",No, , ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Incorrect,Incorrect,Incorrect,Correct,Correct,Correct,13,High,Yes,Yes, ,Yes,No,Yes,Yes,Accra,Male,29,30-39,SSS/SHS,14,Single,Christian,9,Uber
Yes,"Yes, absolutely",Yes,Different people patronize my service without me knowing their status, ,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Incorrect,13,High,Yes,Yes, ,Yes,Yes,Yes,Yes,Accra,Male,30,30-39,Tertiary,18,Single,Christian,6,Bolt
Yes,"Yes, absolutely",Yes,I stand the chance of getting the virus, ,Correct,Correct,Incorrect,Incorrect,Incorrect,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,13,High,No,Yes, ,No,No,Yes,Yes,Accra,Male,30,30-39,SSS/SHS,14,Co-habiting (living with a partner but not married),Christian,8,Uber
Yes,"Yes, absolutely",No, , ,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Incorrect,13,High,Yes,Yes, ,Yes,Yes,Yes,Yes,Accra,Male,30,30-39,SSS/SHS,14,Single,Christian,6,Bolt
Yes,"Yes, absolutely",No, , ,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Incorrect,13,High,Yes,Yes, ,No,No,Yes,Yes,Accra,Male,31,30-39,Tertiary,18,Marrried,Christian,4,Uber
Yes,No,No, , ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Incorrect,13,High,Yes,Yes, ,No,Yes,Yes,Yes,Accra,Male,32,30-39,Tertiary,20,Marrried,Christian,3,Bolt
Yes,"Yes, absolutely",No, , ,Correct,Correct,Incorrect,Incorrect,Incorrect,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,13,High,Yes,Yes, ,Yes,Yes,Yes,Yes,Accra,Male,33,30-39,JSS/JHS/Mid. School,11,Single,Christian,3,Bolt
Yes,"Yes, absolutely",Yes,Because many join my car, ,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,13,High,No,No, ,Yes,Yes,Yes,Yes,Accra,Male,36,30-39,SSS/SHS,14,Single,Christian,7,Bolt
Yes,No,No, , ,Correct,Correct,Incorrect,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Incorrect,13,High,Yes,Yes, ,Yes,Yes,Yes,Yes,Accra,Male,37,40 & above,SSS/SHS,14,Marrried,Christian,6,Bolt
Yes,"Yes, absolutely",Yes,I meet different people, ,Correct,Incorrect,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Incorrect,13,High,Yes,Yes, ,Yes,No,Yes,Yes,Accra,Male,42,40 & above,SSS/SHS,14,Marrried,Christian,5,Bolt
Yes,"Yes, but not as it was in March 2020",Yes,From touches in car and even money exchange, ,Correct,Correct,Correct,Incorrect,Incorrect,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,13,High,Yes,Yes, ,Yes,No,Yes,Yes,Accra,Male,48,18-29,Tertiary,18,Single,Islam,4,Bolt
